id,candidate_id,candidate_number,external_job_id,response,responded_at,created_at,updated_at,stale_reason
cmo74u2n3003d1dpikt0t7l5n,cmmx0wbnj00061dmio6pk3211,5004187,3989,INTERESTED,2026-04-20T11:49:32.084Z,2026-04-20T11:49:30.975Z,2026-04-20T11:49:32.316Z,CLEARED(UNANSWERED)
cmob9ietk00041dpf8azp9jgy,cmo84m93s00261dl5ll261866,5004381,4167,INTERESTED,2026-04-23T09:11:29.075Z,2026-04-23T09:11:29.672Z,2026-04-23T09:11:29.672Z,CLEARED(UNANSWERED)
cmobgh7pf002u1dpfnac1b27i,cmobakzdu000l1dpfwvyf864v,5004495,4209,WANT_TO_APPLY,2026-04-23T12:26:30.824Z,2026-04-23T12:26:31.107Z,2026-04-23T12:26:31.107Z,CLEARED(UNANSWERED)
cmo7alah9003s1dpigv6ifmu9,cmmu0yw4200241dmqjnc6jmoq,5004136,3781,WANT_TO_APPLY,2026-04-20T14:30:44.502Z,2026-04-20T14:30:38.925Z,2026-05-02T22:51:14.415Z,EXCLUDED
cmo7albwf003t1dpi3gp9ho05,cmmu0yw4200241dmqjnc6jmoq,5004136,4015,WANT_TO_APPLY,2026-04-20T14:30:44.502Z,2026-04-20T14:30:40.767Z,2026-05-02T22:51:14.451Z,EXCLUDED
cmocr1j5100061dn0x12ezdir,cmn5f50lb000e1dqsk7ml9rr6,5004165,2918,INTERESTED,2026-04-24T10:10:17.090Z,2026-04-24T10:10:01.381Z,2026-05-02T22:51:15.828Z,EXCLUDED
cmocqy8ya00011dn0u54nhuom,cmn5f50lb000e1dqsk7ml9rr6,5004165,2905,INTERESTED,2026-04-24T10:10:17.090Z,2026-04-24T10:07:28.210Z,2026-05-02T22:51:15.738Z,CLEARED(PENDING)
cmqx8it5600281dno8ohdh4k2,cmn5f50lb000e1dqsk7ml9rr6,5004165,6906,INTERESTED,2026-06-28T03:34:10.053Z,2026-06-28T03:34:09.162Z,2026-06-28T03:34:10.124Z,CLEARED(PENDING)
cmqx8qbp2002f1dnokx14tq9j,cmn5f50lb000e1dqsk7ml9rr6,5004165,6881,INTERESTED,2026-06-28T03:40:00.454Z,2026-06-28T03:39:59.798Z,2026-06-28T03:40:00.505Z,EXCLUDED
cmqx8qhq4002h1dnop4wkbwyl,cmn5f50lb000e1dqsk7ml9rr6,5004165,6882,INTERESTED,2026-06-28T03:40:08.525Z,2026-06-28T03:40:07.612Z,2026-06-28T03:40:08.557Z,CLEARED(PENDING)
cmqx8z01h002t1dnovg142hs0,cmn5f50lb000e1dqsk7ml9rr6,5004165,6887,INTERESTED,2026-06-28T03:46:45.347Z,2026-06-28T03:46:44.597Z,2026-06-28T03:46:45.375Z,CLEARED(PENDING)
cmqx8z6wj002v1dnoe79ecmaq,cmn5f50lb000e1dqsk7ml9rr6,5004165,6888,INTERESTED,2026-06-28T03:46:54.443Z,2026-06-28T03:46:53.491Z,2026-06-28T03:46:54.516Z,CLEARED(PENDING)
cmqx91rxc002x1dnogvyiom96,cmn5f50lb000e1dqsk7ml9rr6,5004165,6894,INTERESTED,2026-06-28T03:48:54.845Z,2026-06-28T03:48:54.048Z,2026-06-28T03:48:54.898Z,CLEARED(PENDING)
cmqx91uej002z1dnoc4523pdt,cmn5f50lb000e1dqsk7ml9rr6,5004165,6895,INTERESTED,2026-06-28T03:48:58.253Z,2026-06-28T03:48:57.259Z,2026-06-28T03:48:58.283Z,CLEARED(PENDING)
cmqx91y9400311dnod445g2ta,cmn5f50lb000e1dqsk7ml9rr6,5004165,6896,INTERESTED,2026-06-28T03:49:03.192Z,2026-06-28T03:49:02.248Z,2026-06-28T03:49:03.224Z,CLEARED(PENDING)
cmqx924nb00331dnoatpg891n,cmn5f50lb000e1dqsk7ml9rr6,5004165,6898,INTERESTED,2026-06-28T03:49:11.457Z,2026-06-28T03:49:10.535Z,2026-06-28T03:49:11.491Z,EXCLUDED
cmqx926f900351dnoa3ci80y4,cmn5f50lb000e1dqsk7ml9rr6,5004165,6899,INTERESTED,2026-06-28T03:49:13.796Z,2026-06-28T03:49:12.837Z,2026-06-28T03:49:13.826Z,EXCLUDED
cmqx93i3x00391dnoryoetwtp,cmn5f50lb000e1dqsk7ml9rr6,5004165,6831,INTERESTED,2026-06-28T03:50:15.566Z,2026-06-28T03:50:14.637Z,2026-06-28T03:50:15.595Z,CLEARED(PENDING)
cmqx93x1e003c1dnoi6svo82w,cmn5f50lb000e1dqsk7ml9rr6,5004165,6834,INTERESTED,2026-06-28T03:50:34.898Z,2026-06-28T03:50:33.986Z,2026-06-28T03:50:34.929Z,EXCLUDED
cmqx93y84003e1dnoqs40krh6,cmn5f50lb000e1dqsk7ml9rr6,5004165,6835,INTERESTED,2026-06-28T03:50:36.487Z,2026-06-28T03:50:35.524Z,2026-06-28T03:50:36.516Z,CLEARED(PENDING)
cmqx948pn003g1dnos9spaaqv,cmn5f50lb000e1dqsk7ml9rr6,5004165,6838,INTERESTED,2026-06-28T03:50:50.043Z,2026-06-28T03:50:49.115Z,2026-06-28T03:50:50.094Z,CLEARED(PENDING)
cmqx94ht5003i1dnojj6coqok,cmn5f50lb000e1dqsk7ml9rr6,5004165,6839,INTERESTED,2026-06-28T03:51:01.776Z,2026-06-28T03:51:00.905Z,2026-06-28T03:51:01.830Z,CLEARED(PENDING)
cmqx95q2o003o1dnobt5gpotg,cmn5f50lb000e1dqsk7ml9rr6,5004165,6843,INTERESTED,2026-06-28T03:51:59.234Z,2026-06-28T03:51:58.272Z,2026-06-28T03:51:59.267Z,EXCLUDED
cmqx95tg5003q1dnoniex3uyx,cmn5f50lb000e1dqsk7ml9rr6,5004165,6844,INTERESTED,2026-06-28T03:52:03.567Z,2026-06-28T03:52:02.645Z,2026-06-28T03:52:03.621Z,EXCLUDED
cmqx96t1z003u1dnoztt5qmld,cmn5f50lb000e1dqsk7ml9rr6,5004165,6640,INTERESTED,2026-06-28T03:52:49.702Z,2026-06-28T03:52:48.791Z,2026-06-28T03:52:49.731Z,CLEARED(PENDING)
cmqx97cwy00401dnoxfwpq7qb,cmn5f50lb000e1dqsk7ml9rr6,5004165,2907,INTERESTED,2026-06-28T03:53:15.507Z,2026-06-28T03:53:14.530Z,2026-06-28T03:53:15.540Z,EXCLUDED
cmqx97dwo00421dnohm728p5q,cmn5f50lb000e1dqsk7ml9rr6,5004165,2908,INTERESTED,2026-06-28T03:53:16.753Z,2026-06-28T03:53:15.816Z,2026-06-28T03:53:16.783Z,EXCLUDED
cmqx97jwk00441dnob81dr3eg,cmn5f50lb000e1dqsk7ml9rr6,5004165,2910,INTERESTED,2026-06-28T03:53:24.527Z,2026-06-28T03:53:23.588Z,2026-06-28T03:53:24.555Z,EXCLUDED
cmqx9875g00461dno0sp89wdv,cmn5f50lb000e1dqsk7ml9rr6,5004165,2914,INTERESTED,2026-06-28T03:53:54.628Z,2026-06-28T03:53:53.716Z,2026-06-28T03:53:54.657Z,EXCLUDED
cmqx98aoj00481dnohkj8krsi,cmn5f50lb000e1dqsk7ml9rr6,5004165,2915,INTERESTED,2026-06-28T03:53:59.233Z,2026-06-28T03:53:58.291Z,2026-06-28T03:53:59.260Z,EXCLUDED
cmpzk5jq7007b1dprf8ddap7x,cmoaza9e6001s1do775js3pau,5004395,6359,WANT_TO_APPLY,2026-06-04T13:57:15.902Z,2026-06-04T13:55:35.839Z,2026-06-04T13:57:17.206Z,CLEARED(PENDING)
cmpzk5nji007f1dprq34z3b97,cmoaza9e6001s1do775js3pau,5004395,6376,WANT_TO_APPLY,2026-06-04T13:57:15.902Z,2026-06-04T13:55:40.782Z,2026-06-04T13:57:17.338Z,CLEARED(PENDING)
cmoldocjm000j1dlatlxdavhn,cmohznx29000o1do72xwshwyl,5004405,4373,INTERESTED,2026-04-30T11:13:31.536Z,2026-04-30T11:05:46.882Z,2026-05-02T22:51:41.349Z,CLEARED(UNANSWERED)
cmolaecwe002e1dmosaehpp0i,cmo9lmkvd002r1dqps7utcnmv,5004344,4399,INTERESTED,2026-04-30T09:34:00.993Z,2026-04-30T09:34:01.934Z,2026-04-30T09:34:01.934Z,CLEARED(UNANSWERED)
cmomkt93100281dlmy5ep1anz,cmnrbjwjt00001drwft72bmr4,5004292,4144,WANT_TO_APPLY,2026-05-01T12:22:06.543Z,2026-05-01T07:13:19.165Z,2026-05-02T22:51:27.818Z,CLEARED(SELECTION_ENDED)
cmomvudz700051dpp79tzl79w,cmnrbjwjt00001drwft72bmr4,5004292,3628,WANT_TO_APPLY,2026-05-01T12:22:06.543Z,2026-05-01T12:22:07.939Z,2026-05-02T22:51:27.674Z,CLEARED(SELECTION_ENDED)
cmomktd3y00291dlmswqqf94l,cmnrbjwjt00001drwft72bmr4,5004292,4145,WANT_TO_APPLY,2026-05-01T12:22:06.543Z,2026-05-01T07:13:24.382Z,2026-05-02T22:51:27.885Z,CLEARED(SELECTION_ENDED)
cmomkrymj00251dlmwfs453uo,cmnrbjwjt00001drwft72bmr4,5004292,4143,WANT_TO_APPLY,2026-05-01T12:22:06.543Z,2026-05-01T07:12:18.955Z,2026-05-02T22:51:27.745Z,CLEARED(SELECTION_ENDED)
cmomvu7so00011dppb76q6rsr,cmnrbjwjt00001drwft72bmr4,5004292,3625,WANT_TO_APPLY,2026-05-01T12:22:06.543Z,2026-05-01T12:21:59.928Z,2026-05-02T22:51:27.202Z,CLEARED(SELECTION_ENDED)
