excel_row,machine_group,name,regist_date,last_login,residence,education_min,grad_year_from,grad_year_to,age_max,age_min,company_count,job_category,job_category_priority,work_location,work_location_priority,transfer_timing,own_send
79,LEGACY,【未送信リスト】既登録_20代後半_職種不問,8日以降,1日以内,全国,高等学校,2015,2021,35,23,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
80,LEGACY,【未送信リスト】既登録_年齢不問_有効職,8日以降,1日以内,全国,高等学校,2015,2025,35,19,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
81,LEGACY,【未送信リスト】既登録_年齢不問_職種不問,8日以降,1日以内,全国,高等学校,2015,2025,35,19,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
82,LEGACY,【未送信リスト】既登録_ログイン7日以内_有効職,8日以降,7日以内,全国,高等学校,2015,2025,35,19,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
83,LEGACY,≪送信済リスト≫20代前半_有効職_東日本,指定なし,1日以内,東日本,高等学校,2022,2025,28,19,～1社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
84,LEGACY,≪送信済リスト≫20代前半_有効職_西日本,指定なし,1日以内,西日本,高等学校,2022,2025,28,19,～1社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
85,LEGACY,≪送信済リスト≫20代前半_有効職_全国,指定なし,1日以内,全国,高等学校,2022,2025,28,19,～1社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
86,LEGACY,≪送信済リスト≫20代前半_職種不問_東日本①,指定なし,1日以内,東日本,高等学校,2024,2025,26,19,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
87,LEGACY,≪送信済リスト≫20代前半_職種不問_東日本②,指定なし,1日以内,東日本,高等学校,2022,2023,28,21,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
88,LEGACY,≪送信済リスト≫20代前半_職種不問_西日本,指定なし,1日以内,西日本,高等学校,2022,2025,28,19,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
89,LEGACY,≪送信済リスト≫20代後半_有効職_東日本,指定なし,1日以内,東日本,高等学校,2015,2021,35,23,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
90,LEGACY,≪送信済リスト≫20代後半_有効職_西日本,指定なし,1日以内,西日本,高等学校,2015,2021,35,23,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
91,LEGACY,≪送信済リスト≫20代後半_有効職_全国,指定なし,1日以内,全国,高等学校,2015,2021,35,23,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
